Year,Type,Authors,Publication,Volume,Pages,ISSN,Title,Impreso,PDF,Group,DOI,Type II,Proyect ID,Institution Authors,Colciencias Clasification,Impact Factor,Proyecto,NPages,First_UdeA_Author,Año,Tipo,Autor(es),Artículo,Vol.,pág.,Revista,Grupo,Clasificación Colciencias,Factor de Impacto,Area,Cites,Simple,Estudiantes
1980,Internacional,"Donoghue, John F; Golowich, Eugene; Ponce, William A; Holstein, Barry R; ",Physical Review D,21,186.0,1550-7998,Analysis of Δ S= 1 nonleptonic weak decays and the Δ I= 1 2 rule,,,GFIF: Grupo de Fenomenología de Interacciones Fundamentales,10.1103/physrevd.21.186,,,Ponce Gutiérrez William Alberto,A1,"5,05",,-1.0,Ponce Gutiérrez William Alberto,1980,Internacional,"Donoghue, John F; Golowich, Eugene; Ponce, William A; Holstein, Barry R; ",Analysis of Δ S= 1 nonleptonic weak decays and the Δ I= 1 2 rule,21,186.0,Physical Review D,GFIF: Grupo de Fenomenología de Interacciones Fundamentales,A1,"5,05",Teórica,215,analysisofs1nonleptonicweakdecaysandthei12rule,Desconocido
2003,Internacional,"Ponce, William A; Giraldo, Yithsbey; Sanchez, Luis A; ",Physical Review D,67,75001.0,1550-7998,Minimal scalar sector of 3-3-1 models without exotic electric charges,,,GFIF: Grupo de Fenomenología de Interacciones Fundamentales,10.1103/PhysRevD.67.075001,,,Ponce Gutiérrez William Alberto,A1,"5,05",,-1.0,Ponce Gutiérrez William Alberto,2003,Internacional,"Ponce, William A; Giraldo, Yithsbey; Sanchez, Luis A; ",Minimal scalar sector of 3-3-1 models without exotic electric charges,67,75001.0,Physical Review D,GFIF: Grupo de Fenomenología de Interacciones Fundamentales,A1,"5,05",Teórica,126,minimalscalarsectorof331modelswithoutexoticelectriccharges,Luis Alberto Sanchez Duque; Yithsbey Giraldo Usuga
2002,Internacional,"Ponce, William A; Florez, Juan B; Sanchez, Luis A; ",International Journal of Modern Physics A,17,643.0,0217-751X,Analysis of SU (3) c⊗ SU (3) L⊗ U (1) X local gauge theory,,,GFIF: Grupo de Fenomenología de Interacciones Fundamentales,Not DOI,,,Ponce Gutiérrez William Alberto,A1,"0,982",,17.0,Ponce Gutiérrez William Alberto,2002,Internacional,"Ponce, William A; Florez, Juan B; Sanchez, Luis A; ",Analysis of SU (3) c⊗ SU (3) L⊗ U (1) X local gauge theory,17,643.0,International Journal of Modern Physics A,GFIF: Grupo de Fenomenología de Interacciones Fundamentales,A1,"0,982",Teórica,76,analysisofsu3csu3lu1xlocalgaugetheory,Luis Alberto Sanchez Duque
2001,Internacional,"Sánchez, Luis A; Ponce, William A; Martinez, R; ",Physical Review D,64,75013.0,1550-7998,SU (3) c⊗ SU (3) L⊗ U (1) X as an E 6 subgroup,,,GFIF: Grupo de Fenomenología de Interacciones Fundamentales,Not DOI,,,Ponce Gutiérrez William Alberto,A1,"5,05",,-1.0,Ponce Gutiérrez William Alberto,2001,Internacional,"Sánchez, Luis A; Ponce, William A; Martinez, R; ",SU (3) c⊗ SU (3) L⊗ U (1) X as an E 6 subgroup,64,75013.0,Physical Review D,GFIF: Grupo de Fenomenología de Interacciones Fundamentales,A1,"5,05",Teórica,65,su3csu3lu1xasane6subgroup,Desconocido
1981,Internacional,"Donoghue, John F; Golowich, Eugene; Holstein, Barry R; Ponce, William A; ",Physical Review D,23,1213.0,1550-7998,Compendium of bag-model matrix elements of the weak nonleptonic Hamiltonian,,,GFIF: Grupo de Fenomenología de Interacciones Fundamentales,10.1103/PhysRevD.23.1213,,,Ponce Gutiérrez William Alberto,A1,"5,05",,-1.0,Ponce Gutiérrez William Alberto,1981,Internacional,"Donoghue, John F; Golowich, Eugene; Holstein, Barry R; Ponce, William A; ",Compendium of bag-model matrix elements of the weak nonleptonic Hamiltonian,23,1213.0,Physical Review D,GFIF: Grupo de Fenomenología de Interacciones Fundamentales,A1,"5,05",Teórica,76,compendiumofbagmodelmatrixelementsoftheweaknonleptonichamiltonian,Desconocido
1994,Internacional,"Ponce, William A; Zepeda, Arnulfo; Lozano, Ricardo Gaitan; ",Physical Review D,49,4954.0,1550-7998,Generational seesaw mechanism in [SU (6)] 3× Z 3,,,GFIF: Grupo de Fenomenología de Interacciones Fundamentales,10.1103/physrevd.49.4954,,,Ponce Gutiérrez William Alberto,A1,"5,05",,-1.0,Ponce Gutiérrez William Alberto,1994,Internacional,"Ponce, William A; Zepeda, Arnulfo; Lozano, Ricardo Gaitan; ",Generational seesaw mechanism in [SU (6)] 3× Z 3,49,4954.0,Physical Review D,GFIF: Grupo de Fenomenología de Interacciones Fundamentales,A1,"5,05",Teórica,43,generationalseesawmechanisminsu63z3,Desconocido
1979,Internacional,"Ponce, William A; ",Physical Review D,19,2197.0,1550-7998,Heavy quarks in a spherical bag,,,GFIF: Grupo de Fenomenología de Interacciones Fundamentales,10.1103/PhysRevD.19.2197,,,Ponce Gutiérrez William Alberto,A1,"5,05",,-1.0,Ponce Gutiérrez William Alberto,1979,Internacional,"Ponce, William A; ",Heavy quarks in a spherical bag,19,2197.0,Physical Review D,GFIF: Grupo de Fenomenología de Interacciones Fundamentales,A1,"5,05",Teórica,43,heavyquarksinasphericalbag,Desconocido
2004,Internacional,"Ponce, William A; Gutiérrez, Diego A; Sánchez, Luis A; ",Physical Review D,69,55007.0,1550-7998,SU (3) c⊗ SU (4) L⊗ U (1) X without exotic electric charges,,,GFIF: Grupo de Fenomenología de Interacciones Fundamentales,10.1103/physrevd.69.055007,,,Ponce Gutiérrez William Alberto,A1,"5,05",,-1.0,Ponce Gutiérrez William Alberto,2004,Internacional,"Ponce, William A; Gutiérrez, Diego A; Sánchez, Luis A; ",SU (3) c⊗ SU (4) L⊗ U (1) X without exotic electric charges,69,55007.0,Physical Review D,GFIF: Grupo de Fenomenología de Interacciones Fundamentales,A1,"5,05",Teórica,42,su3csu4lu1xwithoutexoticelectriccharges,Desconocido
1981,Internacional,"Ponce, William A; ",Physical Review D,23,1134.0,1550-7998,Effective weak Hamiltonian for the Δ b= 1 nonleptonic decays in the six-quark model,,,GFIF: Grupo de Fenomenología de Interacciones Fundamentales,10.1103/physrevd.23.1134,,,Ponce Gutiérrez William Alberto,A1,"5,05",,-1.0,Ponce Gutiérrez William Alberto,1981,Internacional,"Ponce, William A; ",Effective weak Hamiltonian for the Δ b= 1 nonleptonic decays in the six-quark model,23,1134.0,Physical Review D,GFIF: Grupo de Fenomenología de Interacciones Fundamentales,A1,"5,05",Teórica,35,effectiveweakhamiltonianfortheb1nonleptonicdecaysinthesixquarkmodel,Desconocido
2002,Internacional,"Martinez, R; Ponce, William A; Sanchez, Luis A; ",Physical Review D,65,55013.0,1550-7998,SU (3) c⊗ SU (3) L⊗ U (1) X as an SU (6)⊗ U (1) X subgroup,,,GFIF: Grupo de Fenomenología de Interacciones Fundamentales,10.1103/physrevd.65.055013,,,Ponce Gutiérrez William Alberto,A1,"5,05",,-1.0,Ponce Gutiérrez William Alberto,2002,Internacional,"Martinez, R; Ponce, William A; Sanchez, Luis A; ",SU (3) c⊗ SU (3) L⊗ U (1) X as an SU (6)⊗ U (1) X subgroup,65,55013.0,Physical Review D,GFIF: Grupo de Fenomenología de Interacciones Fundamentales,A1,"5,05",Teórica,39,su3csu3lu1xasansu6u1xsubgroup,Luis Alberto Sanchez Duque
