Year,Type,Authors,Publication,Volume,Pages,ISSN,Title,Impreso,PDF,Group,DOI,Type II,Proyect ID,Institution Authors,Colciencias Clasification,Impact Factor,Proyecto,NPages,First_UdeA_Author,Año,Tipo,Autor(es),Artículo,Vol.,pág.,Revista,Grupo,Clasificación Colciencias,Factor de Impacto,Area,Cites,Simple,Estudiantes
2004,Internacional,"Sanchez, Luis A; Pérez, Felipe A; Ponce, William A; ",European Physical Journal C,35,259.0,1434-6044,SU (3) _c\ otimes SU (4) _ {\ mathrm {L}}\ otimes U (1) _X model for three families,,,GFIF: Grupo de Fenomenología de Interacciones Fundamentales,10.1140/epjc/s2004-01851-0,,,Ponce Gutiérrez William Alberto,A1,"2,805",,7.0,Ponce Gutiérrez William Alberto,2004,Internacional,"Sanchez, Luis A; Pérez, Felipe A; Ponce, William A; ",SU (3) _c\ otimes SU (4) _ {\ mathrm {L}}\ otimes U (1) _X model for three families,35,259.0,European Physical Journal C,GFIF: Grupo de Fenomenología de Interacciones Fundamentales,A1,"2,805",Teórica,32,su3cotimessu4mathrmlotimesu1xmodelforthreefamilies,Luis Carlos Sánchez Pacheco
2006,Internacional,"Gutiérrez, Diego A; Ponce, William A; Sánchez, Luis A; ",International Journal of Modern Physics A,21,2217.0,0217-751X,Study of the SU (3) C⊗ SU (3) L⊗ U (1) X model with the minimal scalar sector,,,GFIF: Grupo de Fenomenología de Interacciones Fundamentales,Not DOI,,,Ponce Gutiérrez William Alberto,A1,"0,982",,19.0,Ponce Gutiérrez William Alberto,2006,Internacional,"Gutiérrez, Diego A; Ponce, William A; Sánchez, Luis A; ",Study of the SU (3) C⊗ SU (3) L⊗ U (1) X model with the minimal scalar sector,21,2217.0,International Journal of Modern Physics A,GFIF: Grupo de Fenomenología de Interacciones Fundamentales,A1,"0,982",Teórica,35,studyofthesu3csu3lu1xmodelwiththeminimalscalarsector,Desconocido
2007,Internacional,"Ponce, William A; Sanchez, Luis A; ",Modern Physics Letters A,22,435.0,0217-7323,Systematic study of the SU (3) _c X SU (4) _L XU (1) _X gauge symmetry,,,GFIF: Grupo de Fenomenología de Interacciones Fundamentales,Not DOI,,,Ponce Gutiérrez William Alberto,A1,"1,334",,14.0,Ponce Gutiérrez William Alberto,2007,Internacional,"Ponce, William A; Sanchez, Luis A; ",Systematic study of the SU (3) _c X SU (4) _L XU (1) _X gauge symmetry,22,435.0,Modern Physics Letters A,GFIF: Grupo de Fenomenología de Interacciones Fundamentales,A1,"1,334",Teórica,36,systematicstudyofthesu3cxsu4lxu1xgaugesymmetry,Luis Carlos Sánchez Pacheco
2005,Internacional,"Filippi, Simonetta; Ponce, William A; Sánchez, Luis A; ",EPL,73,142.0,1286-4854,Dark matter from the scalar sector of 3-3-1 models without exotic electric charges,,,GFIF: Grupo de Fenomenología de Interacciones Fundamentales,10.1209/epl/i2005-10349-x,,,Ponce Gutiérrez William Alberto,C,"-1,0",,-1.0,Ponce Gutiérrez William Alberto,2005,Internacional,"Filippi, Simonetta; Ponce, William A; Sánchez, Luis A; ",Dark matter from the scalar sector of 3-3-1 models without exotic electric charges,73,142.0,EPL,GFIF: Grupo de Fenomenología de Interacciones Fundamentales,C,"-1,0",Teórica,32,darkmatterfromthescalarsectorof331modelswithoutexoticelectriccharges,Desconocido
2006,Internacional,"Gutierrez, Diego A; Ponce, William A; Sanchez, Luis A; ",European Physical Journal C,46,497.0,1434-6044,Phenomenology of the SU (3) _c\ otimes SU (3) _L\ otimes U (1) _X model with right-handed neutrinos,,,GFIF: Grupo de Fenomenología de Interacciones Fundamentales,10.1140/epjc/s2006-02513-y,,,Ponce Gutiérrez William Alberto,A1,"2,805",,13.0,Ponce Gutiérrez William Alberto,2006,Internacional,"Gutierrez, Diego A; Ponce, William A; Sanchez, Luis A; ",Phenomenology of the SU (3) _c\ otimes SU (3) _L\ otimes U (1) _X model with right-handed neutrinos,46,497.0,European Physical Journal C,GFIF: Grupo de Fenomenología de Interacciones Fundamentales,A1,"2,805",Teórica,28,phenomenologyofthesu3cotimessu3lotimesu1xmodelwithrighthandedneutrinos,Diego A. Gutierrez Isaza; Diego Alberto Gutiérrez Isaza; Luis Carlos Sánchez Pacheco
2008,Internacional,"Herrera, Johana A; Benavides, Richard H; Ponce, William A; ",Physical Review D,78,73008.0,1550-7998,Flavor changing neutral currents with a fourth family of quarks,,,GFIF: Grupo de Fenomenología de Interacciones Fundamentales,10.1103/PhysRevD.78.073008,,,Ponce Gutiérrez William Alberto,A1,"5,05",,-1.0,Ponce Gutiérrez William Alberto,2008,Internacional,"Herrera, Johana A; Benavides, Richard H; Ponce, William A; ",Flavor changing neutral currents with a fourth family of quarks,78,73008.0,Physical Review D,GFIF: Grupo de Fenomenología de Interacciones Fundamentales,A1,"5,05",Teórica,25,flavorchangingneutralcurrentswithafourthfamilyofquarks,Johana Alexandra Herrera Ruales ; Richard H. Benavides Palacios
1993,Internacional,"Ponce, William A; Zepeda, Arnulfo; ",Physical Review D,48,240.0,1550-7998,Tuning [SU (6)] 3× Z 3,,,GFIF: Grupo de Fenomenología de Interacciones Fundamentales,10.1103/physrevd.48.240,,,Ponce Gutiérrez William Alberto,A1,"5,05",,-1.0,Ponce Gutiérrez William Alberto,1993,Internacional,"Ponce, William A; Zepeda, Arnulfo; ",Tuning [SU (6)] 3× Z 3,48,240.0,Physical Review D,GFIF: Grupo de Fenomenología de Interacciones Fundamentales,A1,"5,05",Teórica,17,tuningsu63z3,Desconocido
2007,Internacional,"Salazar, Juan C; Ponce, William A; Gutiérrez, Diego A; ",Physical Review D,75,75016.0,1550-7998,Phenomenology of the SU (3)_c X SU (3)_L X U (1)_X model with exotic charged leptons,,,GFIF: Grupo de Fenomenología de Interacciones Fundamentales,Not DOI,,,Ponce Gutiérrez William Alberto,A1,"5,05",,-1.0,Ponce Gutiérrez William Alberto,2007,Internacional,"Salazar, Juan C; Ponce, William A; Gutiérrez, Diego A; ",Phenomenology of the SU (3)_c X SU (3)_L X U (1)_X model with exotic charged leptons,75,75016.0,Physical Review D,GFIF: Grupo de Fenomenología de Interacciones Fundamentales,A1,"5,05",Teórica,13,phenomenologyofthesu3cxsu3lxu1xmodelwithexoticchargedleptons,Juan Carlos Salazar Montenegro
2005,Internacional,"Fanchiotti, H; Garcia-Canal, C; Ponce, WA; ",EPL,72,733.0,1286-4854,Quark masses without Yukawa hierarchies,,,GFIF: Grupo de Fenomenología de Interacciones Fundamentales,10.1209/epl/i2005-10313-x,,,Ponce Gutiérrez William Alberto,C,"-1,0",,-1.0,Ponce Gutiérrez William Alberto,2005,Internacional,"Fanchiotti, H; Garcia-Canal, C; Ponce, WA; ",Quark masses without Yukawa hierarchies,72,733.0,EPL,GFIF: Grupo de Fenomenología de Interacciones Fundamentales,C,"-1,0",Teórica,9,quarkmasseswithoutyukawahierarchies,Desconocido
1994,Internacional,"Ponce, William A; Zepeda, Arnulfo; ",Zeitschrift für Physik C,63,339.0,0170-9739,An [SU (6)] 4 flavor model without mirror fermions,,,GFIF: Grupo de Fenomenología de Interacciones Fundamentales,10.1007/BF01411026,,,Ponce Gutiérrez William Alberto,C,"-1,0",,5.0,Ponce Gutiérrez William Alberto,1994,Internacional,"Ponce, William A; Zepeda, Arnulfo; ",An [SU (6)] 4 flavor model without mirror fermions,63,339.0,Zeitschrift für Physik C,GFIF: Grupo de Fenomenología de Interacciones Fundamentales,C,"-1,0",Teórica,10,ansu64flavormodelwithoutmirrorfermions,Desconocido
1998,Internacional,"Perez-Lorenzana, Abdel; Zepeda, Arnulfo; Ponce, William A; ",Modern Physics Letters A,13,2153.0,0217-7323,Non-Susy and Susy One-Step Unification,,,GFIF: Grupo de Fenomenología de Interacciones Fundamentales,Not DOI,,,Ponce Gutiérrez William Alberto,A1,"1,334",,10.0,Ponce Gutiérrez William Alberto,1998,Internacional,"Perez-Lorenzana, Abdel; Zepeda, Arnulfo; Ponce, William A; ",Non-Susy and Susy One-Step Unification,13,2153.0,Modern Physics Letters A,GFIF: Grupo de Fenomenología de Interacciones Fundamentales,A1,"1,334",Teórica,5,nonsusyandsusyonestepunification,Desconocido
2006,Internacional,"Ponce, William A; Zapata, Oscar; ",Physical Review D,74,93007.0,1550-7998,Lepton masses and mixing without Yukawa hierarchies,,,GFIF: Grupo de Fenomenología de Interacciones Fundamentales,10.1103/PhysRevD.74.093007,,,Ponce Gutiérrez William Alberto; Zapata Noreña Oscar,A1,"5,05",,-1.0,Ponce Gutiérrez William Alberto,2006,Internacional,"Ponce, William A; Zapata, Oscar; ",Lepton masses and mixing without Yukawa hierarchies,74,93007.0,Physical Review D,GFIF: Grupo de Fenomenología de Interacciones Fundamentales,A1,"5,05",Teórica,10,leptonmassesandmixingwithoutyukawahierarchies,Oscar Alberto Zapata Noreña
1995,Internacional,"Gaitan-Lozano, Ricardo; Hernandez-Galeana, Albino; Tomas, Sergio A; Ponce, William A; Zepeda, Arnulfo; ",Physical Review D,51,6474.0,1550-7998,Signals of extra gauge bosons and exotic leptons in SU (6) L⊗ U (1) Y,,,GFIF: Grupo de Fenomenología de Interacciones Fundamentales,10.1103/physrevd.51.6474,,,Ponce Gutiérrez William Alberto,A1,"5,05",,-1.0,Ponce Gutiérrez William Alberto,1995,Internacional,"Gaitan-Lozano, Ricardo; Hernandez-Galeana, Albino; Tomas, Sergio A; Ponce, William A; Zepeda, Arnulfo; ",Signals of extra gauge bosons and exotic leptons in SU (6) L⊗ U (1) Y,51,6474.0,Physical Review D,GFIF: Grupo de Fenomenología de Interacciones Fundamentales,A1,"5,05",Teórica,5,signalsofextragaugebosonsandexoticleptonsinsu6lu1y,Desconocido
1997,Internacional,"Perez-Lorenzana, Abdel; Ponce, William A; Zepeda, Arnulfo; ",EPL,39,141.0,1286-4854,One-step non-SUSY unification,,,GFIF: Grupo de Fenomenología de Interacciones Fundamentales,10.1209/epl/i1997-00327-4,,,Ponce Gutiérrez William Alberto,C,"-1,0",,-1.0,Ponce Gutiérrez William Alberto,1997,Internacional,"Perez-Lorenzana, Abdel; Ponce, William A; Zepeda, Arnulfo; ",One-step non-SUSY unification,39,141.0,EPL,GFIF: Grupo de Fenomenología de Interacciones Fundamentales,C,"-1,0",Teórica,12,onestepnonsusyunification,Desconocido
1999,Internacional,"Pérez-Lorenzana, Abdel; Ponce, William A; Zepeda, Arnulfo; ",Physical Review D,59,116004.0,1550-7998,Non-SUSY unification in left-right models,,,GFIF: Grupo de Fenomenología de Interacciones Fundamentales,10.1103/physrevd.59.116004,,,Ponce Gutiérrez William Alberto,A1,"5,05",,-1.0,Ponce Gutiérrez William Alberto,1999,Internacional,"Pérez-Lorenzana, Abdel; Ponce, William A; Zepeda, Arnulfo; ",Non-SUSY unification in left-right models,59,116004.0,Physical Review D,GFIF: Grupo de Fenomenología de Interacciones Fundamentales,A1,"5,05",Teórica,10,nonsusyunificationinleftrightmodels,Desconocido
2000,Internacional,"Perez-Lorenzana, Abdel; Ponce, William A; ",EPL,49,296.0,1286-4854,GUTs and string-GUTs,,,GFIF: Grupo de Fenomenología de Interacciones Fundamentales,10.1209/epl/i2000-00148-y,,,Ponce Gutiérrez William Alberto,C,"-1,0",,-1.0,Ponce Gutiérrez William Alberto,2000,Internacional,"Perez-Lorenzana, Abdel; Ponce, William A; ",GUTs and string-GUTs,49,296.0,EPL,GFIF: Grupo de Fenomenología de Interacciones Fundamentales,C,"-1,0",Teórica,9,gutsandstringguts,Desconocido
1987,Internacional,"Ponce, William A; ",Physical Review D,36,962.0,1550-7998,Anomaly-free version of SU (2) U (1) U (1)’,,,GFIF: Grupo de Fenomenología de Interacciones Fundamentales,10.1103/PhysRevD.36.962,,,Ponce Gutiérrez William Alberto,A1,"5,05",,-1.0,Ponce Gutiérrez William Alberto,1987,Internacional,"Ponce, William A; ",Anomaly-free version of SU (2) U (1) U (1)’,36,962.0,Physical Review D,GFIF: Grupo de Fenomenología de Interacciones Fundamentales,A1,"5,05",Teórica,10,anomalyfreeversionofsu2u1u1,Desconocido
2001,Internacional,"Martinez, R; Ponce, William A; Sanchez, Luis A; ",Physical Review D,64,75013.0,1550-7998,SU (3) c⊗ SU (3) L⊗ U (1) X as an E6 subgroup,,,GFIF: Grupo de Fenomenología de Interacciones Fundamentales,Not DOI,,,Ponce Gutiérrez William Alberto,A1,"5,05",,-1.0,Ponce Gutiérrez William Alberto,2001,Internacional,"Martinez, R; Ponce, William A; Sanchez, Luis A; ",SU (3) c⊗ SU (3) L⊗ U (1) X as an E6 subgroup,64,75013.0,Physical Review D,GFIF: Grupo de Fenomenología de Interacciones Fundamentales,A1,"5,05",Teórica,65,su3csu3lu1xasane6subgroup,Luis Alberto Sanchez Duque
1994,Internacional,"Flórez, Juan B; Ponce, William A; Zepeda, Arnulfo; ",Physical Review D,49,4958.0,1550-7998,Mass scales and stability of the proton in [SU (6)] 3× Z 3,,,GFIF: Grupo de Fenomenología de Interacciones Fundamentales,10.1103/physrevd.49.4958,,,Ponce Gutiérrez William Alberto,A1,"5,05",,-1.0,Ponce Gutiérrez William Alberto,1994,Internacional,"Flórez, Juan B; Ponce, William A; Zepeda, Arnulfo; ",Mass scales and stability of the proton in [SU (6)] 3× Z 3,49,4958.0,Physical Review D,GFIF: Grupo de Fenomenología de Interacciones Fundamentales,A1,"5,05",Teórica,12,massscalesandstabilityoftheprotoninsu63z3,Desconocido
1996,Internacional,"Ponce, William A; Zepeda, Arnulfo; Mira, Jesús M; ",Zeitschrift für Physik C,69,683.0,0170-9739,Is U (1) H a good family symmetry?,,,GFIF: Grupo de Fenomenología de Interacciones Fundamentales,10.1007/bf02907452,,,Ponce Gutiérrez William Alberto,C,"-1,0",,4.0,Ponce Gutiérrez William Alberto,1996,Internacional,"Ponce, William A; Zepeda, Arnulfo; Mira, Jesús M; ",Is U (1) H a good family symmetry?,69,683.0,Zeitschrift für Physik C,GFIF: Grupo de Fenomenología de Interacciones Fundamentales,C,"-1,0",Teórica,6,isu1hagoodfamilysymmetry,Jesus Maria Mira Martinez
1980,Internacional,"Ponce, William A; ",Physical Review D,22,1142.0,1550-7998,Quark diagrams and the Ω− nonleptonic decays,,,GFIF: Grupo de Fenomenología de Interacciones Fundamentales,10.1103/physrevd.22.1142,,,Ponce Gutiérrez William Alberto,A1,"5,05",,-1.0,Ponce Gutiérrez William Alberto,1980,Internacional,"Ponce, William A; ",Quark diagrams and the Ω− nonleptonic decays,22,1142.0,Physical Review D,GFIF: Grupo de Fenomenología de Interacciones Fundamentales,A1,"5,05",Teórica,6,quarkdiagramsandthenonleptonicdecays,Desconocido
2005,Internacional,"Sánchez, Luis A; Ponce, William A; Mira, Jesús M; ",European Physical Journal C,42,205.0,1434-6044,Hierarchical radiative masses in a supersymmetric three-family model without higgsinos,,,GFIF: Grupo de Fenomenología de Interacciones Fundamentales,10.1140/epjc/s2005-02286-9,,,Ponce Gutiérrez William Alberto,A1,"2,805",,11.0,Ponce Gutiérrez William Alberto,2005,Internacional,"Sánchez, Luis A; Ponce, William A; Mira, Jesús M; ",Hierarchical radiative masses in a supersymmetric three-family model without higgsinos,42,205.0,European Physical Journal C,GFIF: Grupo de Fenomenología de Interacciones Fundamentales,A1,"2,805",Teórica,6,hierarchicalradiativemassesinasupersymmetricthreefamilymodelwithouthiggsinos,Desconocido
1999,Internacional,"Pérez-Lorenzana, Abdel; Ponce, William A; ",Physics Letters B,464,77.0,0370-2693,An [SU (3)] 4 supersymmetric grand unified model,,,GFIF: Grupo de Fenomenología de Interacciones Fundamentales,10.1016/s0370-2693(99)01040-0,,,Ponce Gutiérrez William Alberto,A1,"4,034",,5.0,Ponce Gutiérrez William Alberto,1999,Internacional,"Pérez-Lorenzana, Abdel; Ponce, William A; ",An [SU (3)] 4 supersymmetric grand unified model,464,77.0,Physics Letters B,GFIF: Grupo de Fenomenología de Interacciones Fundamentales,A1,"4,034",Teórica,8,ansu34supersymmetricgrandunifiedmodel,Desconocido
1992,Internacional,"Hernández-Galeana, Albino; Ponce, William A; Zepeda, Arnulfo; ",Zeitschrift für Physik C,55,423.0,0170-9739,Family unification in SU (6) L X U (1) Y,,,GFIF: Grupo de Fenomenología de Interacciones Fundamentales,Not DOI,,,Ponce Gutiérrez William Alberto,C,"-1,0",,12.0,Ponce Gutiérrez William Alberto,1992,Internacional,"Hernández-Galeana, Albino; Ponce, William A; Zepeda, Arnulfo; ",Family unification in SU (6) L X U (1) Y,55,423.0,Zeitschrift für Physik C,GFIF: Grupo de Fenomenología de Interacciones Fundamentales,C,"-1,0",Teórica,6,familyunificationinsu6lxu1y,Desconocido
2009,Internacional,"Benavides, Richard H; Giraldo, Yithsbey; Ponce, William A; ",Physical Review D,80,113009.0,1550-7998,Flavor changing neutral currents in the 3-3-1 model with right-handed neutrinos,,,GFIF: Grupo de Fenomenología de Interacciones Fundamentales,10.1103/PhysRevD.80.113009,,,Ponce Gutiérrez William Alberto,A1,"5,05",,-1.0,Ponce Gutiérrez William Alberto,2009,Internacional,"Benavides, Richard H; Giraldo, Yithsbey; Ponce, William A; ",Flavor changing neutral currents in the 3-3-1 model with right-handed neutrinos,80,113009.0,Physical Review D,GFIF: Grupo de Fenomenología de Interacciones Fundamentales,A1,"5,05",Teórica,21,flavorchangingneutralcurrentsinthe331modelwithrighthandedneutrinos,Richard H. Benavides Palacios; Yithsbey Giraldo Usuga
1997,Internacional,"Epele, LN; Canal, CA García; Ponce, William A; ",Physics Letters B,411,159.0,0370-2693,On charge quantization and abelian gauge horizontal symmetries,,,GFIF: Grupo de Fenomenología de Interacciones Fundamentales,10.1016/S0370-2693(97)00992-1,,,Ponce Gutiérrez William Alberto,A1,"4,034",,8.0,Ponce Gutiérrez William Alberto,1997,Internacional,"Epele, LN; Canal, CA García; Ponce, William A; ",On charge quantization and abelian gauge horizontal symmetries,411,159.0,Physics Letters B,GFIF: Grupo de Fenomenología de Interacciones Fundamentales,A1,"4,034",Teórica,5,onchargequantizationandabeliangaugehorizontalsymmetries,Desconocido
1997,Internacional,"Ponce, William A; Wills, Luis A; Zepeda, Arnulfo; ",Zeitschrift für Physik C,73,711.0,0170-9739,Systematic study of horizontal gauge theories,,,GFIF: Grupo de Fenomenología de Interacciones Fundamentales,10.1007/s002880050364,,,Ponce Gutiérrez William Alberto,C,"-1,0",,10.0,Ponce Gutiérrez William Alberto,1997,Internacional,"Ponce, William A; Wills, Luis A; Zepeda, Arnulfo; ",Systematic study of horizontal gauge theories,73,711.0,Zeitschrift für Physik C,GFIF: Grupo de Fenomenología de Interacciones Fundamentales,C,"-1,0",Teórica,7,systematicstudyofhorizontalgaugetheories,Desconocido
2009,Internacional,"Giraldo, Yithsbey; Ponce, William A; Sánchez, Luis A; ",European Physical Journal C,63,461.0,1434-6044,Stability of the scalar potential and symmetry breaking in the economical 3-3-1 model,,,GFIF: Grupo de Fenomenología de Interacciones Fundamentales,10.1140/epjc/s10052-009-1101-4,,,Ponce Gutiérrez William Alberto,A1,"2,805",,15.0,Ponce Gutiérrez William Alberto,2009,Internacional,"Giraldo, Yithsbey; Ponce, William A; Sánchez, Luis A; ",Stability of the scalar potential and symmetry breaking in the economical 3-3-1 model,63,461.0,European Physical Journal C,GFIF: Grupo de Fenomenología de Interacciones Fundamentales,A1,"2,805",Teórica,5,stabilityofthescalarpotentialandsymmetrybreakingintheeconomical331model,Yithsbey Giraldo Usuga
1997,Internacional,"Perez-Lorenzana, A; Jaramillo, DE; Ponce, WA; Zepeda, A; ",Revista Mexicana de Fisica,43,737.0,0035-001X,Symmetry Breaking in $[SU (6)]^ 3 x Z_3$,,,GFIF: Grupo de Fenomenología de Interacciones Fundamentales,Not DOI,,,Jaramillo Arango Daniel E.; Ponce Gutiérrez William Alberto,A1,"-1,0",,-1.0,Jaramillo Arango Daniel E.,1997,Internacional,"Perez-Lorenzana, A; Jaramillo, DE; Ponce, WA; Zepeda, A; ",Symmetry Breaking in $[SU (6)]^ 3 x Z_3$,43,737.0,Revista Mexicana de Fisica,GFIF: Grupo de Fenomenología de Interacciones Fundamentales,A1,"-1,0",Teórica,5,symmetrybreakinginsu63xz3,Desconocido
