Article,Cites,Year
"Multiplexing of encrypted data using fractal masksJF Barrera, M Tebaldi, D Amaya, WD Furlan, JA Monsoriu, N Bolognini, ...
Optics letters 37 (14), 2895-2897",12,2012
"Night myopia studied with an adaptive optics visual analyzerP Artal, C Schwarz, C Cánovas, A Mira-Agudelo
PloS one 7 (7), e40239",13,2012
"Nonlinear optical absorption and optical rectification in near-surface double quantum wells: combined effects of electric, magnetic fields and hydrostatic pressureSY López, ME Mora-Ramos, CA Duque
Optical and Quantum Electronics 44 (6-7), 355-372",1,2012
"Electric field effects on excitons in cylindrical quantum dots with asymmetric axial potential. Influence on the nonlinear optical propertiesRE Acosta, A Zapata, CA Duque, ME Mora-Ramos
Physica E: Low-dimensional Systems and Nanostructures 44 (9), 1936-1944",10,2012
"Electronic band structure of GaAs/Al x Ga 1− x As superlattice in an intense laser fieldS Sakiroglu, U Yesilgul, F Ungan, CA Duque, E Kasapoglu, H Sari, ...
Journal of Luminescence 132 (6), 1584-1588",4,2012
Effect of inhomogeneities on apparent cosmological accelerationAE Romano,,2012
"The Role of a Polariton Bath in the Emission Spectrum of an Open Nanocavity-Quantum Dot SystemN Moure, H Vinck-Posada, BA Rodríguez
arXiv preprint arXiv:1206.5193",,2012
"Probing neutralino properties in minimal supergravity with bilinear R-parity violationF de Campos, OJP Éboli, MB Magro, W Porod, D Restrepo, SP Das, ...
Physical Review D 86 (7), 075001",10,2012
"Excitons in cylindrical GaAs–Ga 1− x Al x As quantum dots under applied electric fieldME Mora-Ramos, CA Duque
Physica B: Condensed Matter 407 (12), 2351-2357",4,2012
"Síntesis y caracterización de polvos de dióxido de estaño dopado con hierro (sNE López, J Marín, J Osorio
Reflexión Otro¿ Cuál? _ 7, 47-53",,2012
"TURING PATTERNS ON SPHERES WITH CONTINUOUS GROWTHDA Garzón, AM Ramírez, CA Duque
Revista EIA, 39-46",,2012
"PATRONES DE TURING SOBRE ESFERAS CON CRECIMIENTO CONTINUODA Garzón, AM Ramírez, CA Duque
Revista EIA, 39-46",,2012
"Biooxidation of arsenopyrite concentrates by Acidithiobacillus ferrooxidans in shake flasksJD Ospina, E Mejía Restrepo, L Osorno Bedoya, MA Márquez, ...
Revista Colombiana de Biotecnología 14 (1), 135-145",,2012
"Monte Carlo Simulation of the Hysteresis Phenomena on Ferromagnetic NanotubesCD Salazar-Enriquez, J Restrepo, E Restrepo-Parra
Journal of nanoscience and nanotechnology 12 (6), 4697-4702",,2012
"Binding energy of a donor impurity in GaAs δ-doped systems under electric and magnetic fields, and hydrostatic pressureME Mora-Ramos, LM Gaggero-Sager, CA Duque
Physica E: Low-dimensional Systems and Nanostructures 44 (7), 1335-1341",3,2012
"Can the exciton--polariton regime be defined by its quantum properties?DG Suárez-Forero, G Cipagauta, H Vinck-Posada, KM Fonseca-Romero, ...
arXiv preprint arXiv:1205.2719",1,2012
"Suppression of Anderson localization of light in one-dimensional disordered photonic superlatticesE Reyes-Gómez, A Bruno-Alfonso, SB Cavalcanti, LE Oliveira
Physical Review B 85 (19), 195110",6,2012
"Nonlinear optical rectification and the second and third harmonic generation in Pöschl–Teller quantum well under the intense laser fieldS Şakiroğlu, F Ungan, U Yesilgul, ME Mora-Ramos, CA Duque, ...
Physics Letters A 376 (23), 1875-1880",25,2012
"Informe de la expedición científica UCR-UNA-COCO-VA Morales, O Lizano, J Acuña, D Murillo, M Corrales, L León, A Márquez, ...",,2012
"Influence of the structural properties on the pseudocritical magnetic behavior of single-wall ferromagnetic nanotubesCD Salazar-Enríquez, E Restrepo-Parra, J Restrepo
Journal of Magnetism and Magnetic Materials 324 (8), 1631-1636",8,2012
"Linear and nonlinear optical properties in a semiconductor quantum well under intense laser radiation: Effects of applied electromagnetic fieldsME Mora-Ramos, CA Duque, E Kasapoglu, H Sari, I Sökmen
Journal of Luminescence 132 (4), 901-913",44,2012
"Master key generation to avoid the use of an external reference wave in an experimental JTC encrypting architectureE Rueda, C Ríos, JF Barrera, R Torroba
Applied optics 51 (11), 1822-1827",10,2012
"On a principle of cosmological uncertaintyAE Romano
arXiv preprint arXiv:1204.0866",3,2012
"Efecto del colesterol y la dimetilformamida sobre parámetros posdescongelación en espermatozoides de caballos criollos colombianosAM Mesa, R Henao
Revista MVZ Córdoba 17 (1), 2908-2915",6,2012
"Evolution of magnetic protection in potentially habitable terrestrial planetsJI Zuluaga, PA Cuartas, JH Hoyos
arXiv preprint arXiv:1204.0275",2,2012
"DESIGUALDAD DE BOGOLIUBOV APLICADA AL ESTUDIO DE NANOSISTEMAS MAGNÉTICOS DE HIERROL Duque, EA Velásquez, J Mazo-Zuluaga, J Restrepo
Escuela de Ingeniería de Antioquia Primer Taller Internacional de Materiales ...",,2012
"Effects of the induced birefringence in photorefractive crystals on speckle optical vorticesJA Gómez, E Rueda, Á Salazar, M Tebaldi, N Bolognini, A Lencina
Optics and Lasers in Engineering 50 (3), 359-365",1,2012
"Neutrino masses in $ SU (5)\ times U (1) _F $ with adjoint flavonsE Nardi, D Restrepo, M Velasquez
The European Physical Journal C-Particles and Fields 72 (3), 1941",,2012
"Femtosecond pulses and dynamics of molecular photoexcitation: RbCs exampleBE Londoño, A Derevianko, JE Mahecha, A Crubellier, E Luc-Koenig
Physical Review A 85 (3), 033419",4,2012
"A first-principles study of the electronic structure of the sulvanite compoundsJM Osorio-Guillén, WF Espinosa-García
Physica B: Condensed Matter 407 (6), 985-991",9,2012
"Monte Carlo Simulation of the Vacancies and Thickness Effects on the Magnetic Behavior of La Ca MnO Thin FilmsG Agudelo, E Restrepo-Parra, J Restrepo
Magnetics, IEEE Transactions on 48 (3), 1110-1114",1,2012
"Nonlinear optical rectification and second and third harmonic generation in GaAs δ-FET systems under hydrostatic pressureJC Martínez-Orozco, ME Mora-Ramos, CA Duque
Journal of Luminescence 132 (2), 449-456",69,2012
"Experimental multiplexing of encrypted movies using a JTC architectureJF Barrera, M Tebaldi, C Ríos, E Rueda, N Bolognini, R Torroba
Optics express 20 (4), 3388-3393",32,2012
"Spatial averaging and apparent acceleration in inhomogeneous spacesAE Romano, M Sasaki
General Relativity and Gravitation 44 (2), 353",10,2012
"The role of rotation in the evolution of dynamo-generated magnetic fields in Super EarthsJI Zuluaga, PA Cuartas
Icarus 217 (1), 88-102",12,2012
"Hydrostatic pressure and electric and magnetic field effects on the binding energy of a hydrogenic donor impurity in InAs Pöschl–Teller quantum ringMG Barseghyan, A Hakimyfard, AA Kirakosyan, ME Mora-Ramos, ...
Superlattices and Microstructures 51 (1), 119-127",15,2012
"Gravitino dark matter and neutrino masses with bilinear R-parity violationD Restrepo, M Taoso, JWF Valle, O Zapata
Physical Review D 85, 023523",40,2012
"Field profiles of bulk plasmon polariton modes in layered systems containing a metamaterialA Bruno-Alfonso, E Reyes-Gómez, SB Cavalcanti, LE Oliveira
Journal of Physics: Condensed Matter 24 (4), 045302",1,2012
"On the properties of bulk plasmon-polariton modes in layered superlatticesA Bruno-Alfonso, E Reyes-Gómez, SB Cavalcanti, LE Oliveira
META'12",,2012
"Optical smart packaging to reduce transmitted informationL Cabezas, M Tebaldi, JF Barrera, N Bolognini, R Torroba
Optics express 20 (1), 158-163",,2012
"Elementos para la formulación de una política pública de educación superior en ColombiaDC Sánchez Zapata
Derecho y Sociedad",,2012
"Nonlinear optical properties related to intersubband transitions in asymmetrical double δ-doped GaAs; effects of an applied electric fieldKA Rodríguez-Magdaleno, JC Martínez-Orozco, I Rodríguez-Vargas, ...
MRS Proceedings 1479, 133-138",,2012
"Nonlinear optical rectification and second and third harmonic generation in GaAs d-FET systems under hydrostatic pressureJC Martınez-Orozco, ME Mora-Ramos, CA Duque
Journal of Luminescence 132, 449-456",4,2012
"Feshbach-like study of He resonant states in Debye plasmas using explicitly correlated wave functionsJC Cardona, AF Ordoñez, JL Sanz-Vicario
Journal of Physics: Conference Series 388 (15), 152034",,2012
"Circular Dichrosim in Photoionization of H2 and D2JF Pérez-Torres, D Dowek, YJ Picard, P Billaud, C Elkharrat, C Houver, ...
Journal of Physics: Conference Series 388 (2), 022019",,2012
"Attosecond Control in Photoionization of D2JF Pérez-Torres, F Kelkensberg, W Siu, F Morales, G Gademann, ...
Journal of Physics: Conference Series 388 (2), 022028",,2012
"Probing autoionizing decay in He atom with ultrashort laser pulsesCM Granados, JL Sanz-Vicario
Journal of Physics: Conference Series 388 (3), 032039",,2012
"Quantitative approach in iron oxides and oxyhydroxides by vibrational analysisA Betancur, FR Pérez, M del Mar Correa, CA Barrero
Optica pura y aplicada 45 (3), 269-275",2,2012
"Plasmon-polariton spectra in one-dimensional Rudin-Shapiro photonic latticesHA Gómez-Urrea, E Reyes-Gómez, ME Mora-Ramos
Some current topics in condensed matter physics, 67",,2012
"Bioleaching of Galena (PbS).ER Mejía, AL Morales, JD Ospina, MA Marquez
INTECH Open Access Publisher",,2012
"Computational methodologies and physical insights into electronic energy transfer in photosynthetic light-harvesting complexesLA Pachón, P Brumer
Physical Chemistry Chemical Physics 14 (29), 10094-10108",51,2012
"Effects of hydrostatic pressure, temperature, electric field and aluminum concentration on the electronic states in GaAs/Ga1− xAlxAs concentric double quantum ringsHM Baghramyan, MG Barseghyan, CA Duque, AA Kirakosyan
Journal of Physics: Conference Series 350 (1), 012016",5,2012
"Combined effects of intense laser field and applied electric field on exciton states in GaAs quantum wells: transition from the single to double quantum wellCA Duque, ME Mora‐Ramos, E Kasapoglu, H Sari, I Sökmen
physica status solidi (b) 249 (1), 118-127",20,2012
"The nonlinear optical absorption and corrections to the refractive index in a GaAs n‐type delta‐doped field effect transistor under hydrostatic pressureJC Martínez‐Orozco, ME Mora‐Ramos, CA Duque
physica status solidi (b) 249 (1), 146-152",12,2012
"Apparent versus true value of the cosmological constantAE Romano, P Chen
International Journal of Modern Physics D 20 (14), 2823-2830",4,2011
Constructing LTB exact solutions in agreement with $ H_0 $ observations: some tools for exact structure formation and inhomogeneous cosmologyAE Romano,,2011
"Large and strong scale dependent bispectrum in single field inflation from a sharp feature in the massF Arroja, AE Romano, M Sasaki
Physical Review D 84 (12), 123503",51,2011
"A LOOK AT THE STUDY AND THE TECHNOLOGICAL AND BIOMEDICAL APPLICATIONS OF MAGNETITEJ Mazo-Zuluaga
Revista EIA, 207-223",,2011
"Energy contributions in magnetite nanoparticles: computation of magnetic phase diagram, theory, and simulationJ Mejía-López, J Mazo-Zuluaga
Journal of Nanoparticle Research 13 (12), 7115-7125",3,2011
"Un Estudio Teórico de la Estructura Electrónica y las Propiedades Dieléctricas de B-Nb2O5C Valencia-Balvín, S Pérez-Walton, J Osorio-Guillén
Tecno Lógicas, 103-117",,2011
"MECHANICAL PROPERTIES AND TRIBOLOGICAL BEHAVIOUR OF CrN/TiN MULTILAYER COATINGSMA Gómez, G Bejarano, D Alejandro Cano, JA Osorio, FJ Bolívar
Revista EIA, 93-102",,2011
"Propiedades mecánicas y comportamiento tribológico de recubrimientos multicapa de CrN/TiNM astrid GóMez
Revista EIA, 93-102",,2011
"Monte Carlo Simulation of Magnetotransport Properties in (FM) and (AF) Thin FilmsE Restrepo-Parra, CM Bedoya-Hincapie, G Orozco-Hernandez, ...
Magnetics, IEEE Transactions on 47 (12), 4686-4694",7,2011
"The effect of the intense laser field on the intersubband transitions in Ga 1− x In x N y As 1− y/GaAs single quantum wellF Ungan, E Kasapoglu, CA Duque, H Sari, I Sokmen
Physica E: Low-dimensional Systems and Nanostructures 44 (2), 515-520",7,2011
"Electronic states in a Pöschl–Teller-like quantum well: Combined effects of electric field, hydrostatic pressure, and temperatureCA Duque, ME Mora-Ramos, MG Barseghyan
Superlattices and Microstructures 50 (5), 480-490",2,2011
"Binding energy of hydrogen-like donor impurity and photoionization cross-section in InAs Pöschl–Teller quantum ring under applied magnetic fieldMG Barseghyan, A Hakimyfard, M Zuhair, CA Duque, AA Kirakosyan
Physica E: Low-dimensional Systems and Nanostructures 44 (2), 419-424",6,2011
"La teoría de la relatividad en la vida cotidianaJI Zuluaga
Revista Universidad de Antioquia",,2011
"MÖSSBAUER Y NANOPARTÍCULAS MAGNÉTICAS EN BIOMÉDICACA Barrero, G de Estado Sólido
Nan Bi, 7",,2011
"Estudio Metalúrgico de la Solubilidad del Acero Estructural Al C-Mn de Alta Resistencia ASTM a 615-60RA Arroyo, Y Aguilar, A Morales, AG Pérez Alcázar
Revista de Ciencias 10, 59-67",,2011
"Synthesis and characterization of Cu2+ substituted magnetiteAL Morales, AA Velásquez, JP Urquijo, E Baggio
Hyperfine Interactions 203 (1-3), 75-84",4,2011
"Synthesis of magnetic nanoparticles: effects of polyelectrolyte concentration and pHJP Urquijo, H Casanova, J Garces, AL Morales
Hyperfine Interactions 203 (1-3), 85-91",2,2011
"Simultaneous effects of electron-hole correlation, hydrostatic pressure, and temperature on the third harmonic generation in parabolic GaAs quantum dotsCM Duque, ME Mora-Ramos, CA Duque
Journal of Nanoparticle Research 13 (11), 6103-6112",19,2011
"Hydrostatic pressure, impurity position and electric and magnetic field effects on the binding energy and photo-ionization cross section of a hydrogenic donor impurity in an InAs Pöschl-Teller quantum ringMG Barseghyan, ME Mora-Ramos, CA Duque
The European Physical Journal B 84 (2), 265-271",16,2011
"Strong coupling criterion for two interacting excitons in a nanocavityN Quesada, PC Cardenas, BA Rodriguez, H Vinck-Posada
Laser Science, JTuA22",,2011
"Tunneling through stacked InAs/InGaAs/InP self-assembled quantum dots in a magnetic fieldAG Silva, FE Lopez, PSS Guimarães, MP Pires, PL Souza, SM Landi, ...
Journal of Applied Physics 110 (8), 083717",,2011
"The elastic and bonding properties of the sulvanite compounds: A first-principles study by local and semi-local functionalsWF Espinosa-García, CM Ruiz-Tobón, JM Osorio-Guillén
Physica B: Condensed Matter 406 (20), 3788-3793",10,2011
"Corrections to the apparent value of the cosmological constant due to local inhomogeneitiesAE Romano, P Chen
Journal of Cosmology and Astroparticle Physics 2011 (10), 016",39,2011
"Making physics education more relevant and accessible via computation and eTextBooksRH Landau, MJ Paez, C Bordeianu, S Haerer
Computer Physics Communications 182 (9), 2071-2075",3,2011
"Anderson localization and Brewster anomalies in photonic disordered quasiperiodic latticesE Reyes-Gómez, A Bruno-Alfonso, SB Cavalcanti, LE Oliveira
Physical Review E 84 (3), 036604",12,2011
"Unfolding of plasmon-polariton modes in one-dimensional layered systems containing anisotropic left-handed materialsA Bruno-Alfonso, E Reyes-Gómez, SB Cavalcanti, LE Oliveira
Physical Review B 84 (11), 113101",5,2011
"Three-dimensional key in a modified joint transform correlator encryption schemeE Rueda, M Tebaldi, R Torroba, N Bolognini
Optics Communications 284 (19), 4321-4326",7,2011
"Experimental opto-digital synthesis of encrypted sub-samples of an image to improve its decoded qualityJF Barrera, E Rueda, C Rios, M Tebaldi, N Bolognini, R Torroba
Optics Communications 284 (19), 4350-4355",14,2011
"Multi-user multiplexed scheme for decoding modulated-encoded sequential informationF Mosso, M Tebaldi, JF Barrera, N Bolognini, R Torroba
International Commission for Optics (ICO 22), 801173-801173-10",,2011
"Subsampling technique to enhance the decoded output of JTC encrypting systemJF Barrera, E Rueda, C Ríos, M Tebaldi, N Bolognini, R Torroba
International Commission for Optics (ICO 22), 80117C-80117C-7",,2011
"Characterization of natural microcosms of estuarine magnetotactic bacteriaA Salazar, A Morales, M Marquez
Dyna 78 (168), 72-80",2,2011
"Informe de la expedición científica UCR-UNA-COCO-IVML Moreno Díaz, AM Gavlas, J Cortés, A Morales, O Lizano, ...",,2011
"Attosecond control in photoionization of hydrogen moleculesF Kelkensberg, W Siu, JF Pérez-Torres, F Morales, G Gademann, ...
Physical review letters 107 (4), 043002",80,2011
"Pure optical dynamical color encryptionF Mosso, M Tebaldi, JF Barrera, N Bolognini, R Torroba
Optics express 19 (15), 13779-13786",15,2011
"Discrete gravity from statistical mechanicsAE Romano
arXiv preprint arXiv:1107.2839",1,2011
"Plasmon polaritons in 1D Cantor-like fractal photonic superlattices containing a left-handed materialJR Mejia-Salazar, N Porras-Montenegro, E Reyes-Gómez, SB Cavalcanti, ...
EPL (Europhysics Letters) 95 (2), 24004",5,2011
"Adaptation of a strain Acidithiobacillus ferrooxidans compatible on concentrates of chalcopyrite (CuFeS2), sphalerite (ZnS) and galena (PbS)E Mejía, JD Ospina, BL Osorno, MA Márquez, AL Morales
Revista Colombiana de Biotecnología 13 (1), 132-143",,2011
"Intense laser field effects on the linear and nonlinear intersubband optical properties of a semi-parabolic quantum wellE Kasapoglu, CA Duque, H Sari, I Sökmen
The European Physical Journal B 82 (1), 13-17",18,2011
"Scalar potential without cubic term in 3-3-1 models without exotic electric chargesY Giraldo, WA Ponce
The European Physical Journal C-Particles and Fields 71 (7), 1693",4,2011
"Magnetic phase diagram simulation of La 1− x Ca x MnO 3 system by using Monte Carlo, Metropolis algorithm and Heisenberg modelE Restrepo-Parra, CD Salazar-Enríquez, J Londoño-Navarro, JF Jurado, ...
Journal of Magnetism and Magnetic Materials 323 (11), 1477-1483",22,2011
"The effects of the intense laser field on donor impurities in a cylindrical GaxIn1− xNyAs1− y/GaAs quantum dot under the electric fieldE Kasapoglu, CA Duque, S Şakiroğlu, H Sari, I Sökmen
Physica E: Low-dimensional Systems and Nanostructures 43 (8), 1427-1432",11,2011
"Strong coupling of two interacting excitons confined in a nanocavity–quantum dot systemPC Cárdenas, N Quesada, H Vinck-Posada, BA Rodríguez
Journal of Physics: Condensed Matter 23 (26), 265304",9,2011
"Theoretical study of the elastic properties of the minerals Cu3TMSe4 (TM= V, Nb, Ta) by means of atomistic first-principles calculationsCM Ruiz, JM Osorio-Guillén
Ingeniería y Ciencia 7 (13), 131-150",,2011
"Minimal flavour violation extensions of the seesawR Alonso, G Isidori, L Merlo, LA Munoz, E Nardi
Journal of High Energy Physics 2011 (6), 1-15",61,2011
"POWER COUNTING OF VARIOUS DIRAC COVARIANTS IN HADRONIC BETHE–SALPETER WAVE FUNCTIONS FOR PSEUDOSCALAR MESON DECAYSS Bhatnagar, SY Li, J Mahecha
International Journal of Modern Physics E 20 (6), 1437-1454",9,2011
"Intense laser field effect on impurity states in a semiconductor quantum well: transition from the single to double quantum well potentialCA Duque, ME Mora-Ramos, E Kasapoglu, H Sari, I Sökmen
The European Physical Journal B 81 (4), 441-449",12,2011
"Excitons in a cylindrical GaAs Pöschl–Teller quantum dotME Mora‐Ramos, MG Barseghyan, CA Duque
physica status solidi (b) 248 (6), 1412-1419",4,2011
"Nonlinear optical rectification and optical absorption in GaAs–Ga 1− x Al x As double quantum wells under applied electric and magnetic fieldsI Karabulut, CA Duque
Physica E: Low-dimensional Systems and Nanostructures 43 (7), 1405-1410",28,2011
"Simultaneous effects of hydrostatic pressure and applied electric field on the impurity-related self-polarization in GaAs/Ga 1− x Al x As multiple quantum wellsRL Restrepo, GL Miranda, CA Duque, ME Mora-Ramos
Journal of Luminescence 131 (5), 1016-1021",6,2011
"Pseudocritical behavior of ferromagnetic pure and random diluted nanoparticles with competing interactions: Variational and Monte Carlo approachesEA Velásquez, J Mazo-Zuluaga, J Restrepo, Ò Iglesias
Physical Review B 83 (18), 184432",9,2011
"Experimental multiplexing approach via code key rotations under a joint transform correlator schemeE Rueda, C Rios, JF Barrera, R Henao, R Torroba
Optics Communications 284 (10), 2500-2504",10,2011
Do recent accurate measurements of $ H_0 $ really rule out void models as alternatives to dark energy?AE Romano,8,2011
"Zero-⟨ n⟩ non-Bragg gap plasmon–polariton modes and omni-reflectance in 1D metamaterial photonic superlatticesC Agudelo-Arango, JR Mejía-Salazar, N Porras-Montenegro, ...
Journal of Physics: Condensed Matter 23 (21), 215003",8,2011
"Texture zeros for the Standard Model quark mass matricesWA Ponce, RH Benavides
The European Physical Journal C-Particles and Fields 71 (5), 1641",9,2011
"Night Myopia Explored With An Adaptive Optics Visual SimulatorP Artal, C Schwarz, C Canovas, A Mira-Agudelo
Investigative Ophthalmology & Visual Science 52 (14), 4767-4767",,2011
"Conocimiento y gestión de medios marinos y coralinos del Área de Conservación Marina Isla del CocoJ Cortés, J Acuña, O Lizano, A Morales, E Alfaro Martínez",1,2011
"Informe de la expedición científica CIMAR-COCO-IIJ Cortés, A Morales, O Lizano, J Acuña, JJ Alvarado, O Breedy, J García, ...",,2011
"Donor impurity states in coupled quantum well wires under hydrostatic pressure and applied electric fieldE Tangarife, ME Mora-Ramos, CA Duque
Superlattices and Microstructures 49 (3), 275-278",4,2011
"Combined effects of electric field and hydrostatic pressure on electron states in asymmetric GaAs/(Ga, Al) triple quantum dotsGL Miranda, RL Restrepo, CA Duque
Superlattices and Microstructures 49 (3), 269-274",5,2011
"Optical properties of hybrid periodic/quasiregular dielectric multilayersJ Escorcia-Garcia, CA Duque, ME Mora-Ramos
Superlattices and Microstructures 49 (3), 203-208",3,2011
"Hydrostatic pressure and electric field effects and nonlinear optical rectification of confined excitons in spherical quantum dotsCM Duque, ME Mora-Ramos, CA Duque
Superlattices and Microstructures 49 (3), 264-268",38,2011
"Estudio de fenómenos dinámicos de la óptica del ojo humanoA Mira Agudelo
Universidad de Murcia",1,2011
"All-optical encrypted movieF Mosso, JF Barrera, M Tebaldi, N Bolognini, R Torroba
Optics express 19 (6), 5706-5712",41,2011
"Study of YBaCo 4 O 7+ δ thin films grown by sputtering technique on (1012)-oriented sapphire substratesJF Montoya, JL Izquierdo, A Gómez, O Arnache, J Osorio, J Marín, ...
Thin Solid Films 519 (10), 3411-3416",4,2011
"The effects of the intense laser field on bound states in Ga x In1-x N y As1-y N/GaAs single quantum wellF Ungan, E Kasapoglu, CA Duque, U Yesilgul, S Şakiroglu, I Sökmen
The European Physical Journal B 80 (1), 89-93",12,2011
"Optical characterization of sputtered YBaCo 4 O 7+ δ thin filmsJF Montoya, JL Izquierdo, JD Causado, A Bastidas, D Nisperuza, ...
Solid State Sciences 13 (2), 310-313",4,2011
"A proposal to evaluate the amount of corroded iron converted into adherent rust in steels exposed to corrosionCA Barrero, KE García, AL Morales, JM Greneche
Corrosion Science 53 (2), 769-775",5,2011
"Effects of hydrostatic pressure and electric field on the nonlinear optical rectification of strongly confined electron–hole pairs in GaAs quantum dotsCM Duque, ME Mora-Ramos, CA Duque
Physica E: Low-dimensional Systems and Nanostructures 43 (4), 1002-1006",22,2011
"Plasmon polariton and〈 n〉= 0 non-Bragg gaps in superlattices with metamaterialsCAA de Carvalho, SB Cavalcanti, E Reyes-Gómez, LE Oliveira
Physical Review B 83 (8), 081408",19,2011
"Simultaneous effects of hydrostatic pressure and electric field on impurity binding energy and polarizability in coupled InAs/GaAs quantum wiresE Tangarife, CA Duque
Physica B: Condensed Matter 406 (4), 952-956",5,2011
"GRID COLOMBIA: SOPORTE PARA INVESTIGACIONES DE AVANZADAH Castro, J Chacón, C Díaz, E González, J Zuluaga
e-colabora"" Revista de ciencia, educación, innovación y cultura apoyadas por ...",,2011
"Neutrino Mixing Angles in Bi-linear R-parity violating mSUGRA model at LHCF de Campos, M Magro, OJP Eboli, W Porod, D Restrepo, S Das, ...",,2011
"ESTADISTICAS DE USO DE LA REVISTACL de Ciencias Sociales, HDCI de Revistas, B Científicas-Grupo, ...
Pedagogía Social. Revista Interuniversitaria",,2011
"Hydrostatic pressure and electric field effect on electronic states in double quantum ringsHM Baghramyan, MG Barseghyan, CA Duque, AA Kirakosyan
Photonics and Micro-and Nano-structured Materials 2011, 84140C-84140C-10",,2011
"Modelling turbulent skin-friction control using linearised Navier-Stokes equationsCA Duque, MF Baig, DA Lockerby, SI Chernyshenko, C Davies
Journal of Physics: Conference Series 318 (4), 042026",,2011
"Electronic structure and strongly correlated systems-Unfolding of plasmon-polariton modes in one-dimensional layered systems containing anisotropic left-handed materials (5 pages) 113101A Bruno-Alfonso, E Reyes-Gómez, SB Cavalcanti, LE Oliveira
Physical Review-Section B-Condensed Matter 84 (11)",,2011
"Adaptación de una cepa compatible con Acidithiobacillus ferrooxidans sobre concentrados de calcopirita (CuFeS2), esfalerita (ZnS) y galena (PbS)E Mejía, JD Ospina, BL Osorno, MA Márquez, AL Morales
Revista Colombiana de Biotecnología 13 (1), 132",,2011
"Lifetime of vibrational levels from Fourier grid calculations: RbCs exampleBE Londoño, J Mahecha, E Luc-Koenig, A Crubellier
Physical Chemistry Chemical Physics 13 (42), 18738-18754",7,2011
"A novel cell-coupling leading to nonlocal interactionsD Cirot, BA Rodríguez
Journal of Physics: Conference Series 285 (1), 012037",,2011
"Self-organization and pattern formation in coupled Lorenz oscillators under a discrete symmetric transformationA Carrillo, BA Rodríguez
Journal of Physics: Conference Series 285 (1), 012033",,2011
"Intense laser effects on nonlinear optical absorption and optical rectification in single quantum wells under applied electric and magnetic fieldCA Duque, E Kasapoglu, S Şakiroglu, H Sari, I Sökmen
Applied Surface Science 257 (6), 2313-2319",52,2011
"Structural and dynamical properties of the Cu 46 Zr 54 alloy in crystalline, amorphous and liquid state: A molecular dynamicstudyC Valencia-Balvín, C Loyola, J Osorio-Guillén, G Gutiérrez
Physica B: Condensed Matter 405 (24), 4970-4977",3,2010
"Density operator of a system pumped with polaritons: a Jaynes–Cummings-like approachN Quesada, H Vinck-Posada, BA Rodríguez
Journal of Physics: Condensed Matter 23 (2), 025301",5,2010
"Sistema Óptico de Encriptación de Doble Máscara de Fase bajo Arquitectura 4fCA Ríos, EA Rueda, JF Barrera
Revista Tecno Lógicas, 75-96",,2010
"Global constraints to the properties of convection-driven magnetic fields in Super EarthsJI Zuluaga, C Restrepo
AGU Fall Meeting Abstracts 1, 1594",,2010
"Influence of the shapes on the magnetic and electrical transport properties of La2/3Ca1/3MnO3 nanoparticlesJC Riano-Rojas, E Restrepo-Parra, G Orozco-Hernández, ...
Journal of materials science 45 (23), 6455-6460",2,2010
"Interface roughness influence on exchange bias effect in La2/3Ca1/3MnO3/La1/3Ca2/3MnO3 bilayersE Restrepo-Parra, G Orozco-Hernández, J Urrea-Serna, JF Jurado, ...
Journal of materials science 45 (24), 6763-6768",4,2010
"Simulation of two alternatives for SO2 removal from wet cement kiln exhaust gasesC Duque, C Montes, F Bustamante, A Ortiz
Revista Facultad de Ingeniería Universidad de Antioquia, 49-57",,2010
"Influence of electric field, hydrostatic pressure and temperature on the electronic states in a Pöschl-Teller quantum wellA Hakimyfard, MG Barseghyan, CA Duque, AA Kirakosyan
Journal of Contemporary Physics (Armenian Academy of Sciences) 45 (6), 258-261",1,2010
"Monte Carlo study of the critical behavior and magnetic properties of La 2/3 Ca 1/3 MnO 3 thin filmsE Restrepo-Parra, CM Bedoya-Hincapié, FJ Jurado, JC Riano-Rojas, ...
Journal of Magnetism and Magnetic Materials 322 (21), 3514-3518",12,2010
"Anisotropy of the effective Landé factor in Al x Ga 1− x As parabolic quantum wells under applied magnetic fieldsA Bruno-Alfonso, N Raigoza, E Reyes-Gómez
Physica E: Low-dimensional Systems and Nanostructures 43 (1), 431-436",2,2010
"Excitons in cylindrical GaAs Pöschl–Teller quantum dots: Hydrostatic pressure and temperature effectsME Mora-Ramos, MG Barseghyan, CA Duque
Physica E: Low-dimensional Systems and Nanostructures 43 (1), 338-344",11,2010
"Hydrostatic pressure, temperature and electric field effects on donor binding energy in Pöschl–Teller quantum wellMG Barseghyan, A Hakimyfard, SY López, CA Duque, AA Kirakosyan
Physica E: Low-dimensional Systems and Nanostructures 43 (1), 529-533",11,2010
"Critical behavior of ferromagnetic pure and random diluted nanoparticles with competing interactions: variational and Monte Carlo approachesEA Velasquez, J Mazo-Zuluaga, J Restrepo, O Iglesias
arXiv preprint arXiv:1011.3388",1,2010
"Molecular frame photoelectron angular distributions for H2 ionization by single and trains of attosecond XUV laser pulsesJL Sanz‐Vicario, JF Pérez‐Torres, F Morales, E Plésiat, F Martín
International Journal of Quantum Chemistry 110 (13), 2462-2471",3,2010
